source_file,source_integration,source_integration_code,source_integration_name,source_integration_version,invoke,call_type,target_integration_code,target_version,target_integration_name,resource_uri,adapter_code,application_name,error
TSGTADAPT2ARINV_INTGSERVIC_IB_01.00.0000.iar.yaml,TSGTADAPT2ARINV_INTGSERVIC_IB|01.00.0000,TSGTADAPT2ARINV_INTGSERVIC_IB,TSGTAdapt2ARInvoice_IntgService_IB,01.00.0000,InvokeCommonLauncher(i0),IntegrationAction,TSGTCMNLAUNCHERF_SERVICE,01.00.0000,TSGTCmnLauncherFwk_Service,/invokeLauncher,PRESEEDED_COLLOCATED_CONN_1741,InvokeCommonLauncher,
TSGTADAPT2ARINV_INTGSERVIC_IB_01.00.0000.iar.yaml,TSGTADAPT2ARINV_INTGSERVIC_IB|01.00.0000,TSGTADAPT2ARINV_INTGSERVIC_IB,TSGTAdapt2ARInvoice_IntgService_IB,01.00.0000,SendNotification(i1),IntegrationAction,TSGTCMNNOTIFICAT_SERVICE,01.00.0000,TSGTCmnNotificationFwk_Service,/Notify,PRESEEDED_COLLOCATED_CONN_1741,SendNotification,
TSGTADAPT2ARINV_INTGSERVIC_IB_01.00.0000.iar.yaml,TSGTADAPT2ARINV_INTGSERVIC_IB|01.00.0000,TSGTADAPT2ARINV_INTGSERVIC_IB,TSGTAdapt2ARInvoice_IntgService_IB,01.00.0000,GetMetadataFromBO(i3),Adapter_Invoke,,,,/FWKOUTBOUNDINTGMETADATA,TSGTRESTVBCSBO_CONN,GetMetadataFromBO,
TSGTCMNAPPCOMPOS_SERVICE_01.00.0000.iar.yaml,TSGTCMNAPPCOMPOS_SERVICE|01.00.0000,TSGTCMNAPPCOMPOS_SERVICE,TSGTCmnAppComposerObjUpdate_Service,01.00.0000,GetFieldDetails(i0),Adapter_Invoke,,,,/fscmRestApi/resources/latest/{CustomObject},TSGTRESTERPCLOUD_CONN,GetFieldDetails,
TSGTCMNAPPCOMPOS_SERVICE_01.00.0000.iar.yaml,TSGTCMNAPPCOMPOS_SERVICE|01.00.0000,TSGTCMNAPPCOMPOS_SERVICE,TSGTCmnAppComposerObjUpdate_Service,01.00.0000,UpdateRESTAPI(i1),Adapter_Invoke,,,,/fscmRestApi/resources/latest,TSGTRESTERPCLOUD_CONN,UpdateRESTAPI,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,InvokeErrorHandlerService(i14),IntegrationAction,HC_CMN_NOTIFICA_SERVICE,01.00.0000,,/Notify,PRESEEDED_COLLOCATED_CONN_1741,InvokeErrorHandlerService,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,UpdateResultFileReport(i22),IntegrationAction,TSGTCMNFILEREFER_SERVICE,01.00.0000,TSGTCmnFileReferencetoObjectStorage_Service,/getFileFromObjectStorage,PRESEEDED_COLLOCATED_CONN_1741,UpdateResultFileReport,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,SendFailedEmailNotification(i11),IntegrationAction,TSGTCMNNOTIFICAT_SERVICE,01.00.0000,TSGTCmnNotificationFwk_Service,/Notify,PRESEEDED_COLLOCATED_CONN_1741,SendFailedEmailNotification,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,SendNotification(i15),IntegrationAction,TSGTCMNNOTIFICAT_SERVICE,01.00.0000,TSGTCmnNotificationFwk_Service,/Notify,PRESEEDED_COLLOCATED_CONN_1741,SendNotification,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,MoveFileToArchiveBucket(i18),IntegrationAction,TSGTCMNSRCOBJSTOTGTOBJSMO_SERVIC,01.00.0000,TSGTCmnSrcObjStorageToTgtObjStorageMove_Service,/getFileFromObjectStorage,PRESEEDED_COLLOCATED_CONN_1741,MoveFileToArchiveBucket,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,MoveFileToErrorBucket(i17),IntegrationAction,TSGTCMNSRCOBJSTOTGTOBJSMO_SERVIC,01.00.0000,TSGTCmnSrcObjStorageToTgtObjStorageMove_Service,/getFileFromObjectStorage,PRESEEDED_COLLOCATED_CONN_1741,MoveFileToErrorBucket,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,InvokeLoggerService-Initiation(i7),IntegrationAction,TSGTCMNUPSERTINS_SERVICE,01.00.0000,TSGTCmnUpsertInstanceTransaction_Service,/UpsertInstanceTransaction,PRESEEDED_COLLOCATED_CONN_1741,InvokeLoggerService-Initiation,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,UpdateESSJobId(i0),IntegrationAction,TSGTCMNUPSERTINS_SERVICE,01.00.0000,TSGTCmnUpsertInstanceTransaction_Service,/UpsertInstanceTransaction,PRESEEDED_COLLOCATED_CONN_1741,UpdateESSJobId,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,UpddateTransactionAndInstanceStatus(i10),IntegrationAction,TSGTCMNUPSERTINS_SERVICE,01.00.0000,TSGTCmnUpsertInstanceTransaction_Service,/UpsertInstanceTransaction,PRESEEDED_COLLOCATED_CONN_1741,UpddateTransactionAndInstanceStatus,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,ERP-BulkARInvoiceImport(i2),Adapter_Invoke,,,,,TSGTERPCLOUD_CONN,ERP-BulkARInvoiceImport,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetARInterfaceDistributionsData(i20),Adapter_Invoke,,,,,TSGTATPCLOUDDB_CONN,GetARInterfaceDistributionsData,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetARInterfaceLinesData(i19),Adapter_Invoke,,,,,TSGTATPCLOUDDB_CONN,GetARInterfaceLinesData,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetBusinessUnitIdentifier(i21),Adapter_Invoke,,,,,TSGTATPCLOUDDB_CONN,GetBusinessUnitIdentifier,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetCallbackStatus(i3),Adapter_Invoke,,,,/Logger/{Logger_Id}/action/getESSJobStatus,TSGTRESTVBCSBO_CONN,GetCallbackStatus,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetFailedRecordsReport(i8),Adapter_Invoke,,,,,TSGTSOAPERPBIP_CONN,GetFailedRecordsReport,
TSGTCMNARERPORCH_SERVICE_01.00.0000.iar.yaml,TSGTCMNARERPORCH_SERVICE|01.00.0000,TSGTCMNARERPORCH_SERVICE,TSGTCmnARErpOrchestratorIbFwk_Service,01.00.0000,GetFailedRecordsReportAsAttachment(i12),Adapter_Invoke,,,,,TSGTSOAPERPBIP_CONN,GetFailedRecordsReportAsAttachment,
